Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFK-9J63;01/09/2025 00:00:00 - 30/09/2025 23:59:59;101:05:18;85:32:43;15:32:35;411:51:51;2822,98;$ 0,00;$ 0,00;195
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 04:52:05 - 01/09/2025 06:42:50;Ligado;01:50:45;01:38:36;00:12:09; - ;49.12;Avenida Afonso Pena -  1 -  Jandaia - GO -  75950-000 -  Brasil;Rua Manoel M. Borges -  307 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 06:42:50 - 01/09/2025 06:44:41;Desligado; - ; - ; - ;00:01:51; - ;Rua Manoel M. Borges, 307, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 06:44:41 - 01/09/2025 06:46:19;Ligado;00:01:38;00:00:38;00:01:00; - ;0.33;Rua Manoel M. Borges -  307 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  8 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 06:46:19 - 01/09/2025 10:36:49;Desligado; - ; - ; - ;03:50:30; - ;Avenida Afonso Pena, 8, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 10:36:49 - 01/09/2025 10:45:33;Ligado;00:08:44;00:06:34;00:02:10; - ;2.20;Avenida Afonso Pena -  38 -  Jandaia - GO -  75950-000 -  Brasil;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 10:45:33 - 01/09/2025 11:02:57;Desligado; - ; - ; - ;00:17:24; - ;Rua Pl, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 11:02:57 - 01/09/2025 11:16:56;Ligado;00:13:59;00:08:59;00:05:00; - ;3.66;Avenida Udn -  60 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 11:16:56 - 01/09/2025 11:21:38;Desligado; - ; - ; - ;00:04:42; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 11:21:38 - 01/09/2025 13:09:07;Ligado;01:47:29;01:39:29;00:08:00; - ;57.86;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  122 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 13:09:07 - 01/09/2025 13:11:03;Desligado; - ; - ; - ;00:01:56; - ;Rua Jose Faria Campos, 122, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 13:11:03 - 01/09/2025 13:18:03;Ligado;00:07:00;00:05:00;00:02:00; - ;2.39;Rua Jose Faria Campos -  122 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 13:18:03 - 01/09/2025 16:45:15;Desligado; - ; - ; - ;03:27:12; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 16:45:15 - 01/09/2025 16:54:45;Ligado;00:09:30;00:04:16;00:05:14; - ;1.32;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
