Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFW-5E13;01/09/2025 00:00:00 - 30/09/2025 23:59:59;52:09:06;44:37:03;07:32:03;499:33:45;2123,83;$ 0,00;$ 0,00;150
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;30/08/2025 10:51:31 - 01/09/2025 10:38:57;Desligado; - ; - ; - ;47:47:26; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 10:38:57 - 01/09/2025 10:40:07;Ligado;00:01:10;00:00:00;00:01:10; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 10:40:07 - 01/09/2025 10:40:21;Desligado; - ; - ; - ;00:00:14; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 10:40:21 - 01/09/2025 10:58:47;Ligado;00:18:26;00:13:06;00:05:20; - ;9.86;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 10:58:47 - 01/09/2025 10:59:25;Desligado; - ; - ; - ;00:00:38; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 10:59:25 - 01/09/2025 12:52:39;Ligado;01:53:14;01:38:41;00:14:33; - ;57.07;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 12:52:39 - 01/09/2025 12:59:07;Desligado; - ; - ; - ;00:06:28; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 12:59:07 - 01/09/2025 12:59:39;Ligado;00:00:32;00:00:00;00:00:32; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 12:59:39 - 01/09/2025 13:01:47;Desligado; - ; - ; - ;00:02:08; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFW-5E13;TFW-5E13;01/09/2025 13:01:47 - 01/09/2025 13:02:02;Ligado;00:00:15;00:00:00;00:00:15; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
