Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TGB-4F03;01/09/2025 00:00:00 - 30/09/2025 23:59:59;143:51:28;120:59:22;22:52:06;395:40:46;3226,64;$ 0,00;$ 0,00;196
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;31/08/2025 02:37:24 - 01/09/2025 01:11:15;Desligado; - ; - ; - ;22:33:51; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 01:11:15 - 01/09/2025 01:50:17;Ligado;00:39:02;00:34:54;00:04:08; - ;39.25;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 01:50:17 - 01/09/2025 05:53:01;Desligado; - ; - ; - ;04:02:44; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 05:53:01 - 01/09/2025 06:46:49;Ligado;00:53:48;00:47:23;00:06:25; - ;25.55;Jandaia -  GO -  Brasil;Rua Beraldo Caetano Gomes -  198 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 06:46:49 - 01/09/2025 06:55:27;Desligado; - ; - ; - ;00:08:38; - ;Rua Beraldo Caetano Gomes, 198, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 06:55:27 - 01/09/2025 07:09:04;Ligado;00:13:37;00:10:43;00:02:54; - ;4.77;Rua Beraldo Caetano Gomes -  198 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 07:09:04 - 01/09/2025 10:44:43;Desligado; - ; - ; - ;03:35:39; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 10:44:43 - 01/09/2025 10:58:38;Ligado;00:13:55;00:11:47;00:02:08; - ;5.97;Jandaia -  GO -  Brasil;Rua Ptn -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 10:58:38 - 01/09/2025 11:02:15;Desligado; - ; - ; - ;00:03:37; - ;Rua Ptn, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 11:02:15 - 01/09/2025 11:17:37;Ligado;00:15:22;00:09:34;00:05:48; - ;4.10;Rua Ptn -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
