Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TGF-3D93;01/09/2025 00:00:00 - 30/09/2025 23:59:59;79:43:13;68:19:45;11:23:28;440:29:02;2309,41;$ 0,00;$ 0,00;163
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;31/08/2025 22:17:12 - 01/09/2025 05:31:01;Desligado; - ; - ; - ;07:13:49; - ;Avenida Jasso Ferreira Caetano, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 05:31:01 - 01/09/2025 06:47:49;Ligado;01:16:48;01:09:47;00:07:01; - ;40.55;Avenida Jasso Ferreira Caetano -  255 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 06:47:49 - 01/09/2025 10:53:51;Desligado; - ; - ; - ;04:06:02; - ;Avenida Jasso Ferreira Caetano, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 10:53:51 - 01/09/2025 10:57:27;Ligado;00:03:36;00:02:36;00:01:00; - ;0.91;Avenida Jasso Ferreira Caetano -  257 -  Jandaia - GO -  75950-000 -  Brasil;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 10:57:27 - 01/09/2025 11:01:46;Desligado; - ; - ; - ;00:04:19; - ;Rua Pl, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 11:01:46 - 01/09/2025 11:06:58;Ligado;00:05:12;00:04:00;00:01:12; - ;1.99;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 11:06:58 - 01/09/2025 11:11:52;Desligado; - ; - ; - ;00:04:54; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 11:11:52 - 01/09/2025 11:16:24;Ligado;00:04:32;00:03:32;00:01:00; - ;1.42;Jandaia -  GO -  Brasil;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 11:16:24 - 01/09/2025 11:21:37;Desligado; - ; - ; - ;00:05:13; - ;Avenida Eliziario Luiz da Costa, 131, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGF-3D93;(GO) - 5931;01/09/2025 11:21:37 - 01/09/2025 13:08:59;Ligado;01:47:22;01:30:10;00:17:12; - ;47.22;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
